lavako-vizonto,115,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
lapisz-lazuli-vizonto,115,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
zold-jade-matt-onix-halak,115,86,86,86,86,86,86,86,86,86,86,86,88,86,86,86,86,86,86,86,86,86,86,86
matt-szurke-kepjaspis-matt-onix-halak,115,86,86,86,86,86,86,86,86,86,86,86,9,86,86,86,86,86,86,86,86,86,86,86
lapisz-lazuli-matt-onix-halak,115,86,86,86,86,86,86,86,86,86,86,86,109,86,86,86,86,86,86,86,86,86,86,86
turkiz-regalit-matt-onix-halak,115,86,86,86,86,86,86,86,86,86,86,86,4,86,86,86,86,86,86,86,86,86,86,86
zold-jade-matt-feher-achat-halak,115,19,19,19,19,19,19,19,19,19,19,19,88,19,19,19,19,19,19,19,19,19,19,19
matt-szurke-kepjaspis-matt-feher-achat-halak,115,19,19,19,19,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19
lapisz-lazuli-matt-feher-achat-halak,115,19,19,19,19,19,19,19,19,19,19,19,109,19,19,19,19,19,19,19,19,19,19,19
turkiz-regalit-matt-feher-achat-halak,115,19,19,19,19,19,19,19,19,19,19,19,4,19,19,19,19,19,19,19,19,19,19,19
zold-jade-halak,115,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
matt-szurke-kepjaspis-halak,115,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
lapisz-lazuli-halak,115,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
turkiz-regalit-halak,115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
hematit-matt-onix-kos,115,86,86,86,86,86,86,86,86,86,86,86,20,86,86,86,86,86,86,86,86,86,86,86
matt-szurke-kepjaspis-matt-onix-kos,115,86,86,86,86,86,86,86,86,86,86,86,9,86,86,86,86,86,86,86,86,86,86,86
lapisz-lazuli-matt-onix-kos,115,86,86,86,86,86,86,86,86,86,86,86,109,86,86,86,86,86,86,86,86,86,86,86
rodonit-matt-onix-kos,115,86,86,86,86,86,86,86,86,86,86,86,111,86,86,86,86,86,86,86,86,86,86,86
turkiz-regalit-matt-onix-kos,115,86,86,86,86,86,86,86,86,86,86,86,4,86,86,86,86,86,86,86,86,86,86,86
hematit-matt-feher-achat-kos,115,19,19,19,19,19,19,19,19,19,19,19,20,19,19,19,19,19,19,19,19,19,19,19
matt-szurke-kepjaspis-matt-feher-achat-kos,115,19,19,19,19,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19
lapisz-lazuli-matt-feher-achat-kos,115,19,19,19,19,19,19,19,19,19,19,19,109,19,19,19,19,19,19,19,19,19,19,19
rodonit-matt-feher-achat-kos,115,19,19,19,19,19,19,19,19,19,19,19,111,19,19,19,19,19,19,19,19,19,19,19
turkiz-regalit-matt-feher-achat-kos,115,19,19,19,19,19,19,19,19,19,19,19,4,19,19,19,19,19,19,19,19,19,19,19
hematit-kos,115,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
matt-szurke-kepjaspis-kos,115,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
lapisz-lazuli-kos,115,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109
rodonit-kos,115,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
turkiz-regalit-kos,115,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
zold-jade-matt-onix-bika,115,86,86,86,86,86,86,86,86,86,86,86,88,86,86,86,86,86,86,86,86,86,86,86
matt-szurke-kepjaspis-matt-onix-bika,115,86,86,86,86,86,86,86,86,86,86,86,9,86,86,86,86,86,86,86,86,86,86,86
rodonit-matt-onix-bika,115,86,86,86,86,86,86,86,86,86,86,86,111,86,86,86,86,86,86,86,86,86,86,86
rozsakvarc-matt-onix-bika,115,86,86,86,86,86,86,86,86,86,86,86,13,86,86,86,86,86,86,86,86,86,86,86
turkiz-regalit-matt-onix-bika,115,86,86,86,86,86,86,86,86,86,86,86,4,86,86,86,86,86,86,86,86,86,86,86
